seller_id,productId,title,description,imageUrlStr,quantity,mrp,sellingPrice,specialPrice,categories,productBrand,productFamily,inStock,codAvailable,offers,discount,shippingCharges,deliveryTime,size,color,sizeUnit,storage,displaySize,keySpecsStr,detailedSpecsStr,specificationList,sellerName,sellerAverageRating,sellerNoOfRatings,sellerNoOfReviews,sleeve,neck,idealFor
,CAMDYMHYZTM6YSU8,Samsung ST30,,http://img.fkcdn.com/image/camera/s/u/8/samsung-st30-point-shoot-original-imadymn2fyt5wkqg.jpeg;http://img.fkcdn.com/image/camera/s/u/8/samsung-st30-point-shoot-200x200-imadymn2fyt5wkqg.jpeg;http://img.fkcdn.com/image/camera/s/u/8/samsung-st30-point-shoot-400x400-imadymn2fyt5wkqg.jpeg;http://img.fkcdn.com/image/camera/s/u/8/samsung-st30-point-shoot-800x800-imadymn2fyt5wkqg.jpeg,1,5990,5810,5810,24,Samsung,"[CAMCXNWTBGDD7GKR, CAMDYMHYVJEMC4GJ]",FALSE,TRUE,,3,0,,,,,,,,,,,3.7364748,573,32,,,
,CAMDX5DGX8ZFBZHE,Ricoh WG-20,,http://img.fkcdn.com/image/camera/z/h/e/ricoh-wg-20-original-imadxa3hqrczrk5r.jpeg;http://img.fkcdn.com/image/camera/z/h/e/ricoh-wg-20-200x200-imadxa3hqrczrk5r.jpeg;http://img.fkcdn.com/image/camera/z/h/e/ricoh-wg-20-400x400-imadxa3hqrczrk5r.jpeg;http://img.fkcdn.com/image/camera/z/h/e/ricoh-wg-20-800x800-imadxa3hqrczrk5r.jpeg,1,14995,14995,14995,24,Ricoh,"[CAMDX5DG2QNNWDPY, CAMDX5DGPKJQRKCE]",FALSE,TRUE,,0,0,,,Black,,,,,Effective Pixels - 14 Megapixels;2.7 inch LCD Screen;Optical Zoom - 5;WiFi Enabled,,,4.2323165,5746505,254630,,,
,CAMCXNWTBGDD7GKR,SAMSUNG ST30 Point & Shoot Camera,,http://img.fkcdn.com/image/camera/g/k/r/samsung-st-series-st30-point-shoot-original-imacyby59uq6bjqp.jpeg;http://img.fkcdn.com/image/camera/g/k/r/samsung-st-series-st30-point-shoot-200x200-imacyby59uq6bjqp.jpeg;http://img.fkcdn.com/image/camera/g/k/r/samsung-st-series-st30-point-shoot-400x400-imacyby59uq6bjqp.jpeg;http://img.fkcdn.com/image/camera/g/k/r/samsung-st-series-st30-point-shoot-800x800-imacyby59uq6bjqp.jpeg,1,5990,5810,5810,24,SAMSUNG,"[CAMDYMHYVJEMC4GJ, CAMDYMHYZTM6YSU8]",FALSE,TRUE,,3,0,,,Silver,,,,Effective Pixels - 10.13Megapixels;Optical Zoom - 3;CCD Image Sensor;2.4 inch LCD Screen,"Effective Pixels - 10.13 Megapixels;Warranty Summary - Samsung Digital Camera products are covered with 2 Years domestic warranty, including only manufacturing defects and services, but not defects due to mishandling.;2.4 inch LCD Screen;Optical Zoom - 3;Sensor Size - 3/1/2015",,,3.731239,573,31,,,
,CAMCZR9Y4RNZWVGD,Panasonic Lumix FX-78 Point & Shoot Camera,,http://img.fkcdn.com/image/camera/v/g/d/panasonic-lumix-fx-78-point-shoot-original-imad87n7wkgpnezs.jpeg;http://img.fkcdn.com/image/camera/v/g/d/panasonic-lumix-fx-78-point-shoot-200x200-imad87n7wkgpnezs.jpeg;http://img.fkcdn.com/image/camera/v/g/d/panasonic-lumix-fx-78-point-shoot-400x400-imad87n7wkgpnezs.jpeg;http://img.fkcdn.com/image/camera/v/g/d/panasonic-lumix-fx-78-point-shoot-800x800-imad87n7wkgpnezs.jpeg,1,10099,9099,9099,24,Panasonic,"[CAMCZSGARD6ZGWWT, CAMCZSHYHAQ4RWEF, CAMD22QFCZXHHCH6]",FALSE,TRUE,,9,0,,,Black,,,,Effective Pixels - 12.1Megapixels;Optical Zoom - 5;CCD Image Sensor;3.5 inch LCD Screen,"Effective Pixels - 12.1 Megapixels;Warranty Summary - Panasonic Digital camera products are covered with 3 years domestic warranty, including only manufacturing defects and services, but not defects due to mishandling.;3.5 inch LCD Screen;Optical Zoom - 5;Sensor Size - 1/2.33",,,3.3453608,194,19,,,
,CAMDVN9GAFJSFKWQ,Sony NEX-7K DSLR Camera,,http://img.fkcdn.com/image/camera/k/w/q/sony-nex-7k-mirrorless-original-imadvnaqwfkfezhq.jpeg;http://img.fkcdn.com/image/camera/k/w/q/sony-nex-7k-mirrorless-200x200-imadvnaqwfkfezhq.jpeg;http://img.fkcdn.com/image/camera/k/w/q/sony-nex-7k-mirrorless-400x400-imadvnaqwfkfezhq.jpeg;http://img.fkcdn.com/image/camera/k/w/q/sony-nex-7k-mirrorless-800x800-imadvnaqwfkfezhq.jpeg,1,79990,77990,77990,24,Sony,[],FALSE,FALSE,,2,0,,,Black,,,,Effective Pixels - 24.3 Megapixels;Sensor Type - CMOS;with 3 inch LCD,Effective Pixels - 24.3 Megapixels;Warranty Summary - 2 Years Sony India Warranty and Free Transit insurance;3 inch LCD Screen;Sensor Size - 23.5x15.6 mm,,,4.2323165,5746505,254630,,,
,CAMDTZ3QAF8QF88Y,Panasonic Lumix DMC-GF5W,,http://img.fkcdn.com/image/camera/8/8/y/panasonic-lumix-dmc-gf5w-original-imae3g88tartrgr7.jpeg;http://img.fkcdn.com/image/camera/8/8/y/panasonic-lumix-dmc-gf5w-200x200-imae3g88tartrgr7.jpeg;http://img.fkcdn.com/image/camera/8/8/y/panasonic-lumix-dmc-gf5w-400x400-imae3g88tartrgr7.jpeg;http://img.fkcdn.com/image/camera/8/8/y/panasonic-lumix-dmc-gf5w-800x800-imae3g88tartrgr7.jpeg,1,59990,35990,35990,24,Panasonic,[],FALSE,TRUE,,40,0,,,White,,,,,Effective Pixels - 12.1 Megapixels;3 inch LCD Screen;Sensor Size - 17.3 x 13.0 mm,,,4.1067963,309,15,,,
,CAMDX5DG2QNNWDPY,Ricoh WG-20,,http://img.fkcdn.com/image/camera/d/p/y/ricoh-wg-20-original-imadxa5umurgnvqz.jpeg;http://img.fkcdn.com/image/camera/d/p/y/ricoh-wg-20-200x200-imadxa5umurgnvqz.jpeg;http://img.fkcdn.com/image/camera/d/p/y/ricoh-wg-20-400x400-imadxa5umurgnvqz.jpeg;http://img.fkcdn.com/image/camera/d/p/y/ricoh-wg-20-800x800-imadxa5umurgnvqz.jpeg,1,14995,14995,14995,24,Ricoh,"[CAMDX5DGPKJQRKCE, CAMDX5DGX8ZFBZHE]",FALSE,TRUE,,0,0,,,White,,,,,Effective Pixels - 14 Megapixels;2.7 inch LCD Screen;Optical Zoom - 5;WiFi Enabled,,,4.2323165,5746505,254630,,,
,CAMDX5DRGUJUSQ2V,Ricoh WG-4 GPS,,http://img.fkcdn.com/image/camera/q/2/v/ricoh-wg-4-gps-original-imadxm4uf6rehssz.jpeg;http://img.fkcdn.com/image/camera/q/2/v/ricoh-wg-4-gps-200x200-imadxm4uf6rehssz.jpeg;http://img.fkcdn.com/image/camera/q/2/v/ricoh-wg-4-gps-400x400-imadxm4uf6rehssz.jpeg;http://img.fkcdn.com/image/camera/q/2/v/ricoh-wg-4-gps-800x800-imadxm4uf6rehssz.jpeg,1,23995,23995,23995,24,Ricoh,[CAMDX5DRBYPDFDGH],FALSE,TRUE,,0,0,,,Black,,,,,Effective Pixels - 16 Megapixels;3 inch LCD Screen;Optical Zoom - 4,,,4.2323165,5746505,254630,,,
,CAMDYMHYVJEMC4GJ,Samsung ST30,,http://img.fkcdn.com/image/camera/4/g/j/samsung-st30-point-shoot-original-imadymn5c2gtugjc.jpeg;http://img.fkcdn.com/image/camera/4/g/j/samsung-st30-point-shoot-200x200-imadymn5c2gtugjc.jpeg;http://img.fkcdn.com/image/camera/4/g/j/samsung-st30-point-shoot-400x400-imadymn5c2gtugjc.jpeg;http://img.fkcdn.com/image/camera/4/g/j/samsung-st30-point-shoot-800x800-imadymn5c2gtugjc.jpeg,1,5990,5810,5810,24,Samsung,"[CAMCXNWTBGDD7GKR, CAMDYMHYZTM6YSU8]",FALSE,TRUE,,3,0,,,,,,,,,,,3.7364748,573,32,,,
,CAMDTZYVTG2NYVSW,Pentax K 5 II (Body Only) DSLR Camera,,http://img.fkcdn.com/image/camera/v/s/w/pentax-k-5-ii-body-only-slr-original-imadtqdanegvcyz7.jpeg;http://img.fkcdn.com/image/camera/v/s/w/pentax-k-5-ii-body-only-slr-200x200-imadtqdanegvcyz7.jpeg;http://img.fkcdn.com/image/camera/v/s/w/pentax-k-5-ii-body-only-slr-400x400-imadtqdanegvcyz7.jpeg;http://img.fkcdn.com/image/camera/v/s/w/pentax-k-5-ii-body-only-slr-800x800-imadtqdanegvcyz7.jpeg,1,76995,76995,76995,24,Pentax,"[CAMDTZYVCFB8NTMP, CAMDTZYVNFH3MVDS]",TRUE,FALSE,,0,0,Usually Delivered within 7 days.,,,,,,Effective Pixels - 16.3 Megapixels;Sensor Type - CMOS;with 3 inch LCD,Effective Pixels - 16.3 Megapixels;3 inch LCD Screen;Sensor Size - 23.7 x 15.7 mm,,,4.220196,5791285,255327,,,
